                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0982,                0.97185,                 1.1109,                0.64451,                0.64821,                0.60959,                0.39296,                 1.3675,                 1.8918,                 1.3102,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.0633,                0.95197,                 1.1431,                0.76264,                0.46431,                0.59543,                0.37007,                  1.526,                 1.8616,                 1.4889,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.0855,                0.94838,                 1.1521,                0.60976,                0.62857,                0.59824,                0.35279,                 1.5163,                 1.8482,                 1.4956,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.0591,                0.90145,                 1.1408,                 0.6343,                0.60476,                0.59067,                0.32566,                 1.4728,                 1.9217,                 1.4322,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.1082,                0.88661,                 1.1281,                 0.6622,                0.60238,                0.59271,                0.32089,                 1.4826,                 2.0062,                 1.4455,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.1025,                 0.9493,                 1.1574,                0.74831,                0.50595,                0.57051,                0.37863,                 1.3976,                 2.0659,                 1.4086,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.0968,                 1.0171,                 1.1841,                0.74428,                 0.5715,                0.57959,                 0.3772,                 1.4421,                 2.0627,                 1.4274,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.0321,                0.87997,                  1.116,                 0.5933,                0.61032,                0.58555,                0.37204,                 1.4061,                 1.9762,                 1.4223,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.0287,                0.90177,                  1.149,                0.63495,                0.62619,                0.59769,                0.37338,                 1.4028,                 1.8721,                 1.4293,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.0629,                0.86022,                 1.1105,                 0.7137,                0.65238,                0.59522,                0.35298,                 1.4924,                 1.7169,                 1.5855,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.0543,                0.86875,                 1.1312,                0.61138,                0.62429,                0.63105,                0.37394,                 1.5226,                 1.6215,                 1.5607,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.0897,                0.91863,                 1.2022,                0.46738,                0.75357,                0.59561,                0.33446,                 1.6142,                 1.6752,                 1.5934,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.0595,                 0.8961,                 1.1249,                 0.3953,                0.64546,                0.49127,                0.24768,                 1.7476,                  2.024,                 1.6604,              0.0012874,              0.0012874,              0.0012874
